,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
10134,1006819,02/23/2015,2055,Rampart,291,THROWING OBJECT AT MOVING VEHICLE,32.0,M,H,STREET,"(34.0473, -118.2842)",2,23,2015,34.0473,-118.2842,2015-02-23,15.3
10163,1006853,02/23/2015,1800,Rampart,211,KIDNAPPING,14.0,F,O,STREET,"(34.0814, -118.2962)",2,23,2015,34.0814,-118.2962,2015-02-23,15.2
10174,1006866,02/25/2015,1010,Rampart,237,ARSON,45.0,F,H,HIGH SCHOOL,"(34.061, -118.2615)",2,25,2015,34.061,-118.2615,2015-02-25,21.4
10574,1007313,03/17/2015,1830,Rampart,299,THROWING OBJECT AT MOVING VEHICLE,14.0,M,O,"VEHICLE, PASSENGER/TRUCK","(34.0392, -118.2739)",3,17,2015,34.0392,-118.2739,2015-03-17,26.6
10804,1007566,03/25/2015,1200,Rampart,275,PICKPOCKET,34.0,F,W,BUS STOP,"(34.0507, -118.2776)",3,25,2015,34.0507,-118.2776,2015-03-25,30.9
10923,1007697,04/02/2015,50,Rampart,248,CRIMINAL HOMICIDE,28.0,M,H,STREET,"(34.0576, -118.2644)",4,2,2015,34.0576,-118.2644,2015-04-02,26.0
11128,1007918,04/13/2015,1200,Rampart,236,KIDNAPPING,14.0,F,H,STREET,"(34.0639, -118.2721)",4,13,2015,34.0639,-118.2721,2015-04-13,25.6
11405,1008226,04/27/2015,200,Rampart,246,PICKPOCKET,44.0,M,H,SIDEWALK,"(34.058, -118.2759)",4,27,2015,34.058,-118.2759,2015-04-27,31.8
11427,1008248,04/28/2015,235,Rampart,246,THROWING OBJECT AT MOVING VEHICLE,14.0,M,H,STREET,"(34.0596, -118.2749)",4,28,2015,34.0596,-118.2749,2015-04-28,33.2
11428,1008249,04/28/2015,235,Rampart,246,THROWING OBJECT AT MOVING VEHICLE,14.0,M,H,STREET,"(34.0596, -118.2749)",4,28,2015,34.0596,-118.2749,2015-04-28,33.2
11611,1008452,05/05/2015,2355,Rampart,241,ARSON,79.0,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0645, -118.2823)",5,5,2015,34.0645,-118.2823,2015-05-05,20.2
11661,1008507,05/07/2015,1500,Rampart,231,CRIMINAL HOMICIDE,45.0,F,H,SINGLE FAMILY DWELLING,"(34.0728, -118.2844)",5,7,2015,34.0728,-118.2844,2015-05-07,18.0
11683,1008532,05/08/2015,1600,Rampart,246,PICKPOCKET,38.0,F,H,OTHER PREMISE,"(34.0596, -118.2749)",5,8,2015,34.0596,-118.2749,2015-05-08,16.5
